DONATIONNUMBER,ITEMNUMBER,ITEMDESCRIPTION,DONATIONREASON,PACK,SIZE_,SIZEUOM,PACKAGINGTYPE,UNITOFMEASURE,QUANTITY,QUANTITYPERPALLET,TOTALPALLETS,GROSSWEIGHT,TOTALGROSSWEIGHT,NETWEIGHT,CUBE,STORAGEREQUIREMENT,MANUFACTUREDATE,EXPIRATIONDATE,SHELFLIFE,EXTENSION,USEBYDATE,BILLOFLADINGNUMBER,STATUS,CODEDATETYPE,MAGREFNUMBER
WD18020051,Chk63F321,BNLS BRST LRG SKNLS,Discontinued Item,/ Bag,,Bag,,Case,10.0,50.0,0.2,20.0,200.0,,,FROZEN,10/20/2017,,,,10/20/2017,,,,172000
WD18020051,Chk63F543,BNIN BRST LRG SKNON,Discontinued Item,/ Bag,,Bag,,Case,10.0,50.0,0.2,25.0,250.0,,,FROZEN,10/20/2018,,,,10/20/2018,,,,173000
WD18020051,Chk636T3,SML WING CSE,Discontinued Item,/ Bag,,Bag,,Carton,10.0,50.0,0.2,30.0,300.0,,,FROZEN,10/20/2018,,,,10/20/2018,,,,174000
WD18020051,Chk63F321,BNLS BRST LRG SKNLS,Discontinued Item,/ Bag,,Bag,,Case,10.0,50.0,0.2,20.0,200.0,,,FROZEN,10/20/2017,,,,10/20/2017,,,,175000
WD18020051,Chk63F543,BNIN BRST LRG SKNON,Discontinued Item,/ Bag,,Bag,,Case,10.0,50.0,0.2,25.0,250.0,,,FROZEN,10/20/2018,,,,10/20/2018,,,,176000
WD18020051,Chk636T3,SML WING CSE,Discontinued Item,/ Bag,,Bag,,Carton,10.0,50.0,0.2,30.0,300.0,,,FROZEN,10/20/2018,,,,10/20/2018,,,,177000
WD18020051,Chk63F321,BNLS BRST LRG SKNLS,Discontinued Item,/ Bag,,Bag,,Case,10.0,50.0,0.2,20.0,200.0,,,FROZEN,10/20/2017,,,,10/20/2017,,,,178000
WD18020051,Chk63F543,BNIN BRST LRG SKNON,Discontinued Item,/ Bag,,Bag,,Case,10.0,50.0,0.2,25.0,250.0,,,FROZEN,10/20/2018,,,,10/20/2018,,,,179000
WD18020051,Chk636T3,SML WING CSE,Discontinued Item,/ Bag,,Bag,,Carton,10.0,50.0,0.2,30.0,300.0,,,FROZEN,10/20/2018,,,,10/20/2018,,,,180000
WD18020051,Chk63F321,BNLS BRST LRG SKNLS,Discontinued Item,/ Bag,,Bag,,Case,10.0,50.0,0.2,20.0,200.0,,,FROZEN,10/20/2017,,,,10/20/2017,,,,181000
