DOCUMENTID,AFFILIATEWEBID,BIDAMOUNT,BIDDATE,BIDTIME,RANK,AVAILABLELOADS,STATUS,ISINITIATOR,GROUPID,PASSKEY,LOADS,REASON,WINNINGBID,USERNAME,CREDITSHARES,SHARES,GROSSWEIGHT,DESCRIPTION,ID,INITIATORWEBID,WONLOAD,WINNINGBIDLOAD,AUCTIONDATE,SESSIONINFO,TRANSPORTATION
L167073,Fargo,100.0,20171106.0,1624.0,0.0,1,3.0,1.0,,,1.0,,100.0,mloeffl,0.0,100.0,18876.7,AA Test YD047,301923.0,,1.0,1.0,20171107.0,1,1
L167077,Fargo,100.0,20171106.0,1624.0,0.0,1,3.0,1.0,,,1.0,,100.0,mloeffl,0.0,100.0,18794.3,AA YD031,301925.0,,1.0,1.0,20171107.0,1,0
L167074,Fargo,100.0,20171106.0,1624.0,0.0,1,3.0,1.0,,,1.0,,100.0,mloeffl,0.0,100.0,9270.54,AA Test YD047 Rapid,301924.0,,1.0,1.0,20171107.0,1,1
L167078,Fargo,100.0,20171106.0,1624.0,0.0,1,3.0,1.0,,,1.0,,100.0,mloeffl,0.0,100.0,9352.94,AA YD031 Rapid,301926.0,,1.0,1.0,20171107.0,1,0
L167075,Fargo,100.0,20171106.0,1624.0,0.0,1,3.0,1.0,,,1.0,,100.0,mloeffl,0.0,100.0,18876.7,AA YD035,301927.0,,1.0,1.0,20171107.0,1,1
L167076,Fargo,100.0,20171106.0,1624.0,0.0,1,3.0,1.0,,,1.0,,100.0,mloeffl,0.0,100.0,9270.54,AA YD035 Rapid,301928.0,,1.0,1.0,20171107.0,1,1
L167081,Fargo,200.0,20171106.0,1658.0,0.0,2,3.0,1.0,,,1.0,,200.0,mloeffl,0.0,200.0,5018.4,AA YD022,301929.0,,1.0,1.0,20171107.0,1,0
L167082,Fargo,200.0,20171106.0,1658.0,0.0,1,3.0,1.0,,,1.0,,200.0,mloeffl,0.0,200.0,2263.2,AA YD022 Rapid,301930.0,,1.0,1.0,20171107.0,1,0
L163052,AnnArbor,0.0,20171107.0,1501.0,0.0,4,7.0,0.0,,ctheus_L163052_SouthfieldFRO,1.0,All the Affilates did not bid,,ctheus,0.0,0.0,9065.0,Dan Testing WD17070047,301931.0,SouthfieldFRO,,0.0,20171107.0,2,0
L163052,SouthfieldFRO,-1900.0,20171107.0,1500.0,0.0,4,7.0,1.0,,ctheus_L163052_SouthfieldFRO,1.0,All the Affilates did not bid,,ctheus,0.0,0.0,9065.0,Dan Testing WD17070047,301931.0,,,0.0,20171107.0,2,1
L163052,Amarillo,0.0,20171107.0,1501.0,0.0,4,7.0,0.0,,ctheus_L163052_SouthfieldFRO,1.0,All the Affilates did not bid,,ctheus,0.0,0.0,9065.0,Dan Testing WD17070047,301931.0,SouthfieldFRO,,0.0,20171107.0,2,0
L167159,Harrisburg,4000.0,20171114.0,1102.0,0.0,2,3.0,1.0,,,1.0,,4000.0,ajefferson,0.0,4000.0,22500.0,"Meal, Assorted Frozen Meals",301948.0,,1.0,1.0,20171114.0,1,1
L167139,Harrisburg,1000.0,20171114.0,1151.0,0.0,2,3.0,1.0,,vjohnson_L167139_Harrisburg,1.0,,1000.0,vjohnson,0.0,1000.0,18000.0,"Meat, Ham, Possum, Bison, Steak",301949.0,,1.0,1.0,20171114.0,1,1
L167178,StCharlesZD,-3000.0,20171114.0,1421.0,0.0,2,7.0,1.0,,,1.0,Bid Amount less than Minimum Reserve Shares,,melandfear,0.0,0.0,24000.0,"Meal, Frozen Nutrisystem Meals",301950.0,,,0.0,20171114.0,2,1
L167131,StCharlesZD,1000.0,20171114.0,1422.0,0.0,2,3.0,1.0,,,1.0,,1000.0,melandfear,0.0,1000.0,18000.0,"Meal, Frozen Nutrisystem Meals",301951.0,,1.0,1.0,20171114.0,2,1
L163066,Chicago,-2000.0,20171117.0,707.0,0.0,1,3.0,1.0,,,1.0,,-2000.0,mloeffl,0.0,-2000.0,4954.13,Change Min Shares 2,301970.0,,1.0,1.0,20171117.0,1,1
L163130,Chicago,-2000.0,20171117.0,708.0,0.0,2,3.0,1.0,,,1.0,,-2000.0,mloeffl,0.0,-2000.0,21.17,"Condo, Taco Seasoning",301971.0,,1.0,1.0,20171117.0,1,1
L163044,Chicago,-2000.0,20171117.0,708.0,0.0,1,3.0,1.0,,,1.0,,-2000.0,mloeffl,0.0,-2000.0,23383.2,"Dairy, Peach Milk, Orange Milk",301972.0,,1.0,1.0,20171117.0,1,1
L163042,Chicago,-2000.0,20171117.0,708.0,0.0,3,3.0,1.0,,,1.0,,-2000.0,mloeffl,0.0,-2000.0,7833.8,"Dairy, Peach Milk, Vanilla Milk",301973.0,,1.0,1.0,20171117.0,1,1
L163040,Chicago,-2000.0,20171117.0,708.0,0.0,3,3.0,1.0,,,1.0,,-2000.0,mloeffl,0.0,-2000.0,7833.8,"Dairy, Peach Milk, Vanilla Milk",301974.0,,1.0,1.0,20171117.0,1,1
L163058,Chicago,-2000.0,20171117.0,708.0,0.0,3,3.0,1.0,,,1.0,,-2000.0,mloeffl,0.0,-2000.0,9065.0,Dan Testing -2000 to -4000 WD17070051,301975.0,,1.0,1.0,20171117.0,1,1
L163069,Chicago,-2000.0,20171117.0,709.0,0.0,1,3.0,1.0,,,1.0,,-2000.0,mloeffl,0.0,-2000.0,39250.0,Dan Testing Choice Bid FA Arranged,301976.0,,1.0,1.0,20171117.0,1,1
L163052,Chicago,-2000.0,20171117.0,709.0,0.0,4,3.0,1.0,,,1.0,,-2000.0,mloeffl,0.0,-2000.0,9065.0,Dan Testing WD17070047,301977.0,,1.0,1.0,20171117.0,1,1
L163054,Chicago,-2000.0,20171117.0,709.0,0.0,1,3.0,1.0,,,1.0,,-2000.0,mloeffl,0.0,-2000.0,28345.0,Dan Testing WD17070048 3stack,301978.0,,1.0,1.0,20171117.0,1,1
L163055,Chicago,-2000.0,20171117.0,709.0,0.0,1,3.0,1.0,,,1.0,,-2000.0,mloeffl,0.0,-2000.0,10905.0,Dan Testing WD17070048 balance,301979.0,,1.0,1.0,20171117.0,1,1
L163056,Chicago,-2000.0,20171117.0,709.0,0.0,3,3.0,1.0,,,1.0,,-2000.0,mloeffl,0.0,-2000.0,9065.0,Dan Testing WD17070049,301980.0,,1.0,1.0,20171117.0,1,1
L167009,Chicago,-2000.0,20171117.0,707.0,0.0,2,3.0,1.0,,,1.0,,-2000.0,mloeffl,0.0,-2000.0,9065.0,Canned Meals,301968.0,,1.0,1.0,20171117.0,1,1
L163065,Chicago,-2000.0,20171117.0,707.0,0.0,4,3.0,1.0,,,1.0,,-2000.0,mloeffl,0.0,-2000.0,3238.97,Change Min Shares 1,301969.0,,1.0,1.0,20171117.0,1,1
L163060,Chicago,-2000.0,20171117.0,709.0,0.0,3,3.0,1.0,,,1.0,,-2000.0,mloeffl,0.0,-2000.0,9065.0,Dan Testing WD17070052 post then direct offer went for 4-3,301981.0,,1.0,1.0,20171117.0,1,1
L163063,Chicago,-2000.0,20171117.0,709.0,0.0,1,3.0,1.0,,,1.0,,-2000.0,mloeffl,0.0,-2000.0,28032.5,Dan Testing WD17070053 load move product 1,301982.0,,1.0,1.0,20171117.0,1,1
L163064,Chicago,-2000.0,20171117.0,709.0,0.0,1,3.0,1.0,,,1.0,,-2000.0,mloeffl,0.0,-2000.0,11217.5,Dan Testing WD17070053 load move product 2,301983.0,,1.0,1.0,20171117.0,1,1
L163067,Chicago,-2000.0,20171117.0,709.0,0.0,2,3.0,1.0,,,1.0,,-2000.0,mloeffl,0.0,-2000.0,19065.0,Dan Testing WD17070054 Bid Multi Drop,301984.0,,1.0,1.0,20171117.0,1,1
L163070,Chicago,-2000.0,20171117.0,710.0,0.0,1,3.0,1.0,,,1.0,,-2000.0,mloeffl,0.0,-2000.0,64509.28,Dan Testing WD17080033 New Donation-Manual Upload,301985.0,,1.0,1.0,20171117.0,1,1
BL167546,FtMeyersZC,100.0,20180122.0,1128.0,0.0,1,3.0,1.0,,,1.0,,100.0,Dan,0.0,100.0,40000.0,Dan Test 1 WD18010127 1/22/18 teste,302059.0,,1.0,1.0,20180122.0,1,1
BL167656,Atlanta,1.0,20180125.0,1436.0,0.0,1,3.0,1.0,,,1.0,,1.0,ajefferson,0.0,1.0,28800.0,"Mix, Cereal, Pop Tarts, SEE NOTES",302071.0,,1.0,1.0,20180125.0,2,0
L163040,Atlanta,100.0,20180719.0,1530.0,0.0,2,3.0,1.0,,,1.0,,100.0,mloeffl,0.0,100.0,7833.8,"Dairy, Peach Milk, Vanilla Milk",302141.0,,1.0,1.0,20180719.0,2,0
L162102,Atlanta,-200.0,20180719.0,1530.0,0.0,1,3.0,1.0,,,1.0,,-200.0,mloeffl,0.0,-200.0,18829.0,"Z - Snack, Graham Crackers, Cookies, SEE NOTES",302142.0,,1.0,1.0,20180719.0,2,0
BL167593,Atlanta,100.0,20180719.0,1529.0,0.0,2,3.0,1.0,,,1.0,,100.0,mloeffl,0.0,100.0,14400.0,"Snack, Cookies",302139.0,,1.0,1.0,20180719.0,2,0
