ORGNAME,CITY,NEWGOALFACTOR,FOODBANKGOALFACTOR,ISFRO,FROGOALFACTORWITHFEC,INITIALSHARES,INITIALCREDIT,TEMPCOLUMN1,TEMPCOLUMN2,TEMPCOLUMN3,TEMPCOLUMN4,STATE,CURRENTSHARES,CURRENTCREDIT,CREDITSHARESBORROWED,CREDITSHARESPAID
,FEC - Maroon,0.0,0.0,2,0.0,,,0.0,0.0,0.0,0.0,,2424.0,0.0,0.0,0.0
Atlanta,Atlanta,1.97,1.97,0,,83970.78059834859,0.0,0.0,0.0,0.0,0.0,GA,75899.96248271111,0.0,0.0,0.0
Boston,Boston,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,MA,97814.0,0.0,0.0,0.0
Charleston,Charleston,0.44,0.44,0,,0.0,45750.0,0.0,0.0,0.0,0.0,SC,20275.89402327182,39265.92702229176,730642.0,724157.9708844667
ChicagoZD,ZD-CHICAGO,1.97,1.97,0,,140055.25564043556,0.0,0.0,0.0,0.0,0.0,IL,245699.7264463194,0.0,0.0,0.0
Columbia,Columbia,0.26,0.26,0,,5885.72288885717,53500.0,0.0,0.0,0.0,0.0,MO,125360.95679972525,57000.0,107618.0,107618.0
ColumbusOH,Columbus,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,OH,71955.8,0.0,0.0,0.0
DesMoines,Des Moines,0.4,0.4,0,,0.0,45750.0,0.0,0.0,0.0,0.0,IA,6065.084021141498,59910.28231511602,525709.0,517976.9213638131
EastSyracuse,East Syracuse,0.38,0.38,0,,28390.958096828374,62250.0,0.0,0.0,0.0,0.0,NY,14611.81815965657,36433.63122037944,946390.0,937073.8444056492
EugeneFRO,Eugene,0.0,0.0,0,0.023333333333333334,3549.578543761646,64950.42145623836,0.0,0.0,0.0,0.0,OR,109392.85491478842,68000.0,0.0,0.0
Fredericksburg,Fredericksburg,0.07,0.07,0,,0.0,68000.0,0.0,0.0,0.0,0.0,VA,6406.247038205301,62075.29534540583,37826.0,31901.295345405826
FtWorth,Ft. Worth,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,TX,0.0,0.0,0.0,0.0
Gray,Gray,0.01,0.01,0,,0.0,0.0,0.0,0.0,0.0,0.0,TN,1705.8787789002126,0.0,0.0,0.0
Jackson,Jackson,0.87,0.87,0,,63733.64669629537,20000.0,0.0,0.0,0.0,0.0,MS,5566.550695616239,9440.615156946913,1343317.0,1322758.1122864187
Knoxville,Knoxville,0.1,0.1,0,,8896.627372463296,0.0,0.0,0.0,0.0,0.0,TN,7236.542583973443,0.0,0.0,0.0
Longmont,Longmont,0.01,0.01,0,,4831.055781605307,0.0,0.0,0.0,0.0,0.0,CO,4574.939710287698,0.0,15038.0,15038.0
Macon,Macon,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,GA,1000.8,0.0,0.0,0.0
Maplewood,St. Paul,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,MN,0.0,0.0,0.0,0.0
Mesa,Mesa,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,AZ,2000.0,0.0,0.0,0.0
MilwaukeeZC,ZC-MILWAUKEE,1.3,1.3,0,,74620.53296470169,0.0,0.0,0.0,0.0,0.0,WI,25200.254443446916,0.0,0.0,0.0
NewOrleansZD,ZD-NEW ORLEANS,0.0,0.0,0,,106424.98352693663,0.0,0.0,0.0,0.0,0.0,LA,0.0,0.0,0.0,0.0
Odessa,Odessa,0.42,0.42,0,,32008.579679767558,45750.0,0.0,0.0,0.0,0.0,TX,5017.771580278606,19552.465710624252,471908.0,445710.46571062424
Orlando,Orlando,1.96,1.96,0,,63143.94035675669,0.0,0.0,0.0,0.0,0.0,FL,33491.66154940196,0.0,68358.0,68358.0
Anderson,Anderson,0.04,0.04,0,,2200.058266740445,0.0,0.0,0.0,0.0,0.0,IN,2715.832429129426,0.0,0.0,0.0
AthensFRO,Athens,0.0,0.0,0,0.0,816.5164701304744,0.0,0.0,0.0,0.0,0.0,GA,0.0,0.0,0.0,0.0
Birmingham,Birmingham,0.51,0.51,0,,39181.450059733186,40000.0,0.0,0.0,0.0,0.0,AL,23505.217001939796,45750.0,293629.0,293629.0
Charlotte,Charlotte,1.1,1.1,0,,38092.761432892556,5500.0,0.0,0.0,0.0,0.0,NC,12824.894278403217,11000.0,658819.0370370371,658819.0370370371
ConcordZD,Concord,1.81,1.81,0,,90344.14526797812,0.0,0.0,0.0,0.0,0.0,CA,50716.88394426294,0.0,0.0,0.0
DetroitZC,Detroit,1.23,1.23,0,,112849.38047594932,0.0,0.0,0.0,0.0,0.0,MI,82000.174252539,0.0,0.0,0.0
Fairfield,Fairfield,0.05,0.05,0,,2024.2804155318013,0.0,0.0,0.0,0.0,0.0,OH,8233.7075843051,0.0,0.0,0.0
Hawaii,Honolulu,0.39,0.39,0,,22165.020012083507,50000.0,0.0,0.0,0.0,0.0,HI,118672.85072586767,50000.0,24297.0,24297.0
Huntington,Huntington,0.04,0.04,0,,2222.739279799625,0.0,0.0,0.0,0.0,0.0,WV,6694.671795334574,0.0,0.0,0.0
KansasCityZD,Kansas City,1.11,1.11,0,,117759.81980326177,5500.0,0.0,0.0,0.0,0.0,MO,38013.908800102305,17500.0,3715.0,3715.0
Louisville,Louisville,0.42,0.42,0,,4326.403241038556,50000.0,0.0,0.0,0.0,0.0,KY,5117.435974795953,11113.684131834465,284063.0,206977.1471079599
Newark,Newark,0.23,0.23,0,,0.0,57000.0,0.0,0.0,0.0,0.0,DE,200000.0,57000.0,232035.0,232035.0
NewOrleans,New Orleans,0.78,0.78,0,,1321.169010697226,30000.0,0.0,0.0,0.0,0.0,LA,3425.681698514982,5401.626485439805,51504.0,26905.626485439803
Orange,Orange,0.8,0.8,0,,52631.290803826836,17500.0,0.0,0.0,0.0,0.0,CA,28738.30074334751,20000.0,88746.0,88746.0
Abilene,Abilene,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,TX,15000.0,0.0,0.0,0.0
BeaumontZD,Beaumont,0.34,0.34,0,,18893.283878296814,50000.0,0.0,0.0,0.0,0.0,TX,187800.426373967,53500.0,0.0,0.0
DallasZC,ZC-DALLAS,1.79,1.79,0,,75930.36146886933,0.0,0.0,0.0,0.0,0.0,TX,157978.18117408446,0.0,0.0,0.0
FortCollins,Ft. Collins,0.01,0.01,0,,124.74557182548915,0.0,0.0,0.0,0.0,0.0,CO,373.1815772871069,0.0,0.0,0.0
Gary,Gary,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,IN,13942.0,0.0,0.0,0.0
Lima,Lima,0.04,0.04,0,,0.0,0.0,0.0,0.0,0.0,0.0,OH,1740.3171244516118,0.0,0.0,0.0
Miami,Miami,1.70000004768372,1.70000004768372,0,,112509.16528006163,800000.0,0.0,0.0,0.0,0.0,FL,18213.718060515243,8222.0,0.0,0.0
SanAntonioZD,San Antonio,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,TX,0.0,0.0,0.0,0.0
RichmondZD,Richmond,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,VA,0.0,0.0,0.0,0.0
LouisianaZD,Baton Rouge,0.0,0.0,0,,74299.0,40000.0,0.0,0.0,0.0,0.0,LA,0.6242621864859685,0.0,2864.0,2864.0
AlbertTest102509,Chicago,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,IL,0.0,0.0,0.0,0.0
FtPierce,Fort Pierce,0.21,0.21,0,,0.0,57000.0,0.0,0.0,0.0,0.0,FL,43519.93468635918,62631.84424866408,49436.0,38408.76635735335
TAP,Chicago,3.0,3.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,IL,490268.8801576699,0.0,0.0,0.0
BethelHeights,Bethel Heights,0.16,0.16,0,,0.0,59000.0,0.0,0.0,0.0,0.0,AR,1493.386264544491,2031.319904968321,305728.0,245509.7991204133
Laredo,Laredo,0.15,0.15,0,,14739.0,62250.0,0.0,0.0,0.0,0.0,TX,7387.157890962529,62465.38913594709,4832.0,4832.0
RaleighFRO,Raleigh,0.15,0.15,0,0.04,5749.636810502091,62250.0,0.0,0.0,0.0,0.0,NC,83003.13591337121,62250.0,0.0,0.0
AnnArbor,Ann Arbor,0.11,0.11,0,,2738.7323268959667,62250.0,0.0,0.0,0.0,0.0,MI,104.96536078475322,4114.211383038968,233931.0,170044.8136137089
CorpusChristi,Corpus Christi,0.19,0.19,0,,14946.78760599952,59000.0,0.0,0.0,0.0,0.0,TX,10858.450024090676,14928.517165476376,201465.0,157393.51716547637
Houston,Houston,2.48,2.48,0,,111675.63805013677,0.0,0.0,0.0,0.0,0.0,TX,88985.74162050668,0.0,0.0,0.0
Lexington,Lexington,0.08,0.08,0,,8482.698884133262,0.0,0.0,0.0,0.0,0.0,KY,2411.4464305622205,0.0,0.0,0.0
Montgomery,Montgomery,0.6,0.6,0,,27489.387827725976,34000.0,0.0,0.0,0.0,0.0,AL,10659.137683430756,15147.714970627021,1029609.0,1004757.0331891971
Alexandria,Alexandria,0.13,0.13,0,,221.13987732700352,62250.0,0.0,0.0,0.0,0.0,LA,7085.795800672112,47769.179871287866,17250.0,2769.179871287864
BatonRouge,Baton Rouge,0.27,0.27,0,,368.5664622116725,57000.0,0.0,0.0,0.0,0.0,LA,11261.036918423768,60596.92925099466,41069.0,30935.426996035436
Cincinnati,Cincinnati,0.62,0.62,0,,1961.9076296190567,34000.0,0.0,0.0,0.0,0.0,OH,44624.84925408125,40000.0,0.0,0.0
PortlandMEFRO,Portland,0.0,0.0,0,0.0,408.2582350652372,68091.74176493476,0.0,0.0,0.0,0.0,ME,0.0,0.0,0.0,0.0
Delmont,Delmont,0.09,0.09,0,,6305.321630451997,68000.0,0.0,0.0,0.0,0.0,PA,2447.530358640016,67303.66088957233,312018.0,230627.02083608645
Gassaway,Gassaway,0.48,0.48,0,,38342.25257654353,45750.0,0.0,0.0,0.0,0.0,WV,12652.330732156266,9234.223285931554,1231832.0,1201066.2232859316
LexingtonZC,ZC-LEXINGTON,1.75,1.75,0,,173883.9866182023,0.0,0.0,0.0,0.0,0.0,KY,20563.879907164457,0.0,0.0,0.0
NorfolkZC,ZC-NORFOLK,0.0,0.0,0,,22306.77634370338,46193.22365629662,0.0,0.0,0.0,0.0,VA,0.0,0.0,6822.0,6822.0
BuffaloZD,Buffalo,0.0,0.0,0,,50034.31480855074,0.0,0.0,0.0,0.0,0.0,NY,0.0,0.0,0.0,0.0
LosAngeles,Los Angeles,3.49,3.49,0,,248697.30819390703,0.0,0.0,0.0,0.0,0.0,CA,241567.7731792904,0.0,0.0,0.0
ComstockPark,Comstock Park,0.69,0.69,0,,40360.86273881054,34000.0,0.0,0.0,0.0,0.0,MI,41613.90713244644,30000.0,375759.0,375759.0
OxnardZD,ZD-Oxnard,0.0,0.0,0,,45475.43118365559,23024.568816344407,0.0,0.0,0.0,0.0,CA,0.0,0.0,0.0,0.0
ColumbusZD,ZC-COLUMBUS,1.31,1.31,0,,62650.62832271953,0.0,0.0,0.0,0.0,0.0,OH,60182.15425372383,0.0,12558.0,12558.0
Hauppauge,Hauppauge,0.22,0.22,0,,35682.903795354694,57000.0,0.0,0.0,0.0,0.0,NY,13117.044348680056,49999.53585813398,242868.0,242868.0
Elmira,Elmira,0.15,0.15,0,,11453.911594885823,59000.0,0.0,0.0,0.0,0.0,NY,4035.0138407453856,2778.5851702796845,456799.0,400577.8373051499
Jacksonville,Jacksonville,0.0,0.0,0,,35206.60252111192,34000.0,0.0,0.0,0.0,0.0,FL,0.26107858274288626,8844.846429837697,1132792.0,1107637.0777140802
Albuquerque,Albuquerque,0.01,0.01,0,,56.70253264794962,0.0,0.0,0.0,0.0,0.0,NM,41121.231980327284,0.0,0.0,0.0
ColumbusGAZD,ZD-COLUMBUS,0.48,0.48,0,,46031.1160036055,45750.0,0.0,0.0,0.0,0.0,GA,1265.888422406818,1266.1469800474188,737412.0,677232.0809868001
OklahomaCity,Oklahoma City,0.01,0.01,0,,56.70253264794962,0.0,0.0,0.0,0.0,0.0,OK,67096.23198032728,0.0,0.0,0.0
Harrisburg,Harrisburg,0.79,0.79,0,,47380.6362806267,30000.0,0.0,0.0,0.0,0.0,PA,158006.39571395534,20000.0,0.0,0.0
BattleCreekZC,ZC-BATTLE CREEK,0.48,0.48,0,,27154.842885103073,45750.0,0.0,0.0,0.0,0.0,MI,21021.540321968223,40000.0,969646.0,969646.0
ColumbiaZD,ZD-COLUMBIA,0.0,0.0,0,,133863.33907527945,0.0,0.0,0.0,0.0,0.0,SC,0.8987376880445713,0.0,0.0,0.0
MemphisZD,ZD-MEMPHIS,0.0,0.0,0,,55103.52122727744,0.0,0.0,0.0,0.0,0.0,TN,0.0,0.0,0.0,0.0
Portland,Portland,1.41,1.41,0,,73288.02344747489,0.0,0.0,0.0,0.0,0.0,OR,199800.0,0.0,0.0,0.0
PhoenixZD,ZD-Phoenix,2.28,2.28,0,,117000.00586577924,0.0,0.0,0.0,0.0,0.0,AZ,80885.57111601594,0.0,0.0,0.0
ElizabethCity,Elizabeth City,0.13,0.13,0,,6492.439988190231,68000.0,0.0,0.0,0.0,0.0,NC,727.9149179121662,727.9318116555767,297737.0,236215.09314346692
Raleigh,Raleigh,1.22,1.22,0,,60717.07195942445,0.0,0.0,0.0,0.0,0.0,NC,7350.127085514561,5357.99531051553,1352960.0,1332100.510284532
FtMeyersZC,ZC-FT. MYERS,0.49,0.49,0,,22363.478876351328,40000.0,0.0,0.0,0.0,0.0,FL,5949.658570156588,6549.586148863591,726700.0,670310.3593258492
TylerZD,Tyler,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,TX,100.56992477607183,0.0,55043.0,55043.0
Pittsburgh,Duquesne,0.71,0.71,0,,49251.81985800904,30000.0,0.0,0.0,0.0,0.0,PA,4254.229662738212,29093.073943672323,1021444.0,1020536.7471704991
FtSmith,Ft. Smith,0.11,0.11,0,,0.0,68000.0,0.0,0.0,0.0,0.0,AR,1186.012029380097,266.37083484174735,376023.0,247169.06087921528
Albany,Albany,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,GA,0.5764204683120071,0.0,0.0,0.0
Monroe,Monroe,0.14,0.14,0,,0.0,62250.0,0.0,0.0,0.0,0.0,LA,34576.91961264101,27452.794011756927,66937.0,32139.794011756927
Reading,Reading,0.15,0.15,0,,9004.3621844944,62250.0,0.0,0.0,0.0,0.0,PA,67717.06617778966,59000.0,0.0,0.0
Richmond,Richmond,0.44,0.44,0,,23905.78776437556,45750.0,0.0,0.0,0.0,0.0,VA,35483.940910712336,45750.0,645986.0,645986.0
Riverside,Riverside,1.02,1.02,0,,0.0,11000.0,0.0,0.0,0.0,0.0,CA,6294.34720287378,5500.0,17673.0,17673.0
RiversideZC,ZC-RIVERSIDE,0.0,0.0,0,,75658.18931215917,0.0,0.0,0.0,0.0,0.0,CA,0.0,0.0,0.0,0.0
Roanoke,Salem,0.32,0.32,0,,24722.30423450603,50000.0,0.0,0.0,0.0,0.0,VA,10904.498588754763,11084.510932492585,983840.0,946010.9753865714
RochesterMN,Rochester,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,MN,0.0,0.0,0.0,0.0
RochesterNY,Rochester,0.33,0.33,0,,0.0,50000.0,0.0,0.0,0.0,0.0,NY,8823.975585705804,27667.602653921247,416633.0,394300.90760457027
Roseville,Roseville,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,CA,0.0,0.0,0.0,0.0
Sacramento,Sacramento,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,CA,0.0,0.0,0.0,0.0
SaltLakeCity,Salt Lake City,0.89,0.89,0,,39844.86969171419,20000.0,0.0,0.0,0.0,0.0,UT,112303.4424815518,30000.0,666392.0,666392.0
SanAntonio,San Antonio,0.77,0.77,0,,43660.9501389212,30000.0,0.0,0.0,0.0,0.0,TX,27768.807962523973,30000.0,146561.0,146561.0
SanDiego,San Diego,1.07,1.07,0,,57037.07759057252,11000.0,0.0,0.0,0.0,0.0,CA,55122.47054127928,5500.0,758967.0,758967.0
SanFrancisco,San Francisco,0.07,0.07,0,,3623.2918362039804,0.0,0.0,0.0,0.0,0.0,CA,483.3921843577537,0.0,0.0,0.0
SanFranciscoZC,ZC-SAN FRANCISC,1.61,1.61,0,,91659.64402541055,0.0,0.0,0.0,0.0,0.0,CA,13226.803598994435,0.0,0.0,0.0
SanJose,San Jose,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,CA,2500.0,0.0,0.0,0.0
SanJoseZC,ZC-SAN JOSE,1.01,1.01,0,,75573.13551318726,11000.0,0.0,0.0,0.0,0.0,CA,70771.03967557226,11000.0,358352.0,358352.0
SantaBarbara,Santa Barbara,0.21,0.21,0,,0.0,57000.0,0.0,0.0,0.0,0.0,CA,1580.5292648012776,4363.6737092156345,442511.0,389874.8870531998
SantaRosa,Santa Rosa,0.06,0.06,0,,3033.5854966653046,0.0,0.0,0.0,0.0,0.0,CA,11520.054666535718,0.0,0.0,0.0
Sarasota,Sarasota,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,FL,6000.0,0.0,0.0,0.0
Savannah,Savannah,0.34,0.34,0,,0.0,50000.0,0.0,0.0,0.0,0.0,GA,10055.140127788145,58686.18395835486,450684.0,356437.77385395486
Seattle,Shoreline,1.49,1.49,0,,71450.86138968132,0.0,0.0,0.0,0.0,0.0,WA,192865.17172564272,0.0,0.0,0.0
Shreveport,Shreveport,0.17,0.17,0,,255.16139691577328,59000.0,0.0,0.0,0.0,0.0,LA,1537.0985095996007,46183.098656392714,65618.0,35756.27906302157
LafayetteZD,ZD-Lafayette,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,IN,0.5947736034215302,0.0,151275.0,128230.11719131604
WaterlooZD,ZD-Waterloo,0.22,0.22,0,,0.0,57000.0,0.0,0.0,0.0,0.0,IA,21867.640092228154,59000.0,0.0,0.0
Shrewsbury,Shrewsbury,0.18,0.18,0,,0.0,59000.0,0.0,0.0,0.0,0.0,MA,12378.705757988071,20938.419625663177,399278.0,363216.3234059502
ShrewsburyZD,Shrewsbury,0.0,0.0,0,,55681.88706028652,0.0,0.0,0.0,0.0,0.0,MA,-0.4023074385580443,0.0,341390.5,341390.5
Sikeston,Sikeston,0.08,0.08,0,,0.0,0.0,0.0,0.0,0.0,0.0,MO,44608.863065121186,0.0,0.0,0.0
SiouxFalls,Sioux Falls,0.22,0.22,0,,15927.741420809047,57000.0,0.0,0.0,0.0,0.0,SD,4631.175373617958,1309.5078146074823,475417.0,419726.7575430206
SouthBarre,South Barre,0.17,0.17,0,,0.0,59000.0,0.0,0.0,0.0,0.0,VT,2041.585167999541,48722.085301962135,336952.0,281528.0953989248
SouthBend,South Bend,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,IN,2000.0,0.0,0.0,0.0
SouthfieldFRO,Southfield,0.79,0.79,0,0.13,18530.387669349933,30000.0,0.0,0.0,0.0,0.0,MI,165366.85570055977,40000.0,0.0,0.0
Sparks,Sparks,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,NV,0.0,0.0,0.0,0.0
Spokane,Spokane,0.56,0.56,0,,0.0,40000.0,0.0,0.0,0.0,0.0,WA,16539.506391592342,20410.284329525726,633377.0,593429.5612717932
SpokaneZD,ZD-SPOKANE,0.0,0.0,0,,55324.66110460444,0.0,0.0,0.0,0.0,0.0,WA,0.003766746628064,0.0,0.0,0.0
Springfield,Springfield,0.0,0.0,0,,0.0,53500.0,0.0,0.0,0.0,0.0,OH,1060.7144931228747,0.0,0.0,0.0
SpringfieldIL,Springfield,0.23,0.23,0,,0.0,57000.0,0.0,0.0,0.0,0.0,IL,7947.41195726253,5947.5082248067965,477424.0,429871.5082248068
SpringfieldMO,Springfield,0.38,0.38,0,,0.0,0.0,0.0,0.0,0.0,0.0,MO,13669.004719866018,50000.0,3742.0,3742.0
StCharles,St. Charles,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,IL,14798.0,0.0,0.0,0.0
StCharlesZD,ZD-ST. CHARLES,1.05,1.05,0,,77693.81023422057,11000.0,0.0,0.0,0.0,0.0,IL,11143.282406538498,0.0,0.0,0.0
StJoseph,St. Joseph,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,MO,1760.8,0.0,0.0,0.0
StLouis,St. Louis,1.06,1.06,0,,54780.31679118412,11000.0,0.0,0.0,0.0,0.0,MO,6128.5648100413955,2007.2841129053372,916001.0,883414.0974625709
SunCity,Sun City,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,AZ,0.0,0.0,0.0,0.0
Tallahassee,Tallahassee,0.22,0.22,0,,15054.522418030623,57000.0,0.0,0.0,0.0,0.0,FL,294.30838495489655,16215.280358350203,248619.0,205834.2803583502
Tampa,Tampa,1.41,1.41,0,,67935.30436550843,0.0,0.0,0.0,0.0,0.0,FL,200000.0,0.0,3020.0,3020.0
TerreHaute,Terre Haute,0.09,0.09,0,,0.0,68000.0,0.0,0.0,0.0,0.0,IN,77515.76407493495,68000.0,0.0,0.0
TexarkanaFRO,Texarkana,0.08,0.08,0,0.02,402.58798180044226,68000.0,0.0,0.0,0.0,0.0,TX,731.6505153965891,800.0549778612631,243543.0,176343.3836711419
Theodore,Theodore,0.8,0.8,0,,41517.59440482871,20000.0,0.0,0.0,0.0,0.0,AL,5613.913630200457,27117.71631450998,1472144.668266997,1469262.0355971106
Toledo,Toledo,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,OH,0.0,0.0,0.0,0.0
Tucson,Tucson,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,AZ,0.0,0.0,0.0,0.0
Tulsa,Tulsa,0.01,0.01,0,,0.0,0.0,0.0,0.0,0.0,0.0,OK,33909.6497768684,1736.3278607734546,556510.0,525007.7250599923
TulsaZC,ZC-TULSA,0.0,0.0,0,,44585.201421082784,23914.798578917216,0.0,0.0,0.0,0.0,OK,0.0,0.0,0.0,0.0
Tyler,Tyler,0.51,0.51,0,,27461.036561402,40000.0,0.0,0.0,0.0,0.0,TX,1520.1295886591283,40777.69949498947,532572.0,526368.6971056679
Urbana,Urbana,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,IL,40144.0,0.0,0.0,0.0
