ORG_ID,NAME,PRINTABLE_NAME,STATUS_FLAG,E_MAIL,DESCRIPTION,ONE_APPROVER_FLAG,FINAL_AMOUNT,CURRENCY,CURRENCY_PATTERN,FLOAT_PATTERN,GROUP_SEPARATOR,GROUP_SIZE,DECIMAL_CHAR,LANGUAGE,COUNTRY,VARIANT,TIME_ZONE,DOMAIN,URL,DIVISION_ID,EXTERNAL_ID,DUNS_NUMBER,TAX_ID,INDUSTRY_CODE,CONTACT_NAME,ORG_TYPE,CUSTOM_TYPE,CREATED_TIME,CREATED_BY,MODIFIED_TIME,MODIFIED_BY,SYS_FLAGS,PATH,YEARS_IN_BUSINESS,INDUSTRY_VAL_NUM,ANNUAL_REV_VID,EMP_COUNT_VID,OCA,PARENT_ORG_ID,FINAL_APPROVER_ID,ADMIN_USER_ID,SUPPLIER_ID,MASTER_ORG_ID,ONLINEORDERSTATUS,QUESTIONNAIREGROUPCODE,DELIVERYZONE,CREDITLIMIT,HOLDCODE,ISACTIVEFORAE4
ORG_00004KA2,0014P459BOSR,Supp. Living YouthNFam/Durant,I,,,,,USD,"*###,##0.00","###,##0.00",",",3,.,en,US,,EST,,,,,,,,,S,,2002-08-13 20:36:09,USER_00000001,2002-08-16 18:09:15,USER_00000001,0,ORG_00000001.ORG_00004J5D.ORG_00004K8D.ORG_00004KA2,0.0,0.0,0.0,0.0,8,ORG_00004K8D,,,,ORG_00004J5D,,,,,,
ORG_00004KA3,0014468ADC,Logan Community Day Care,I,dbbeatt@dellepro.com,,,,USD,"*###,##0.00","###,##0.00",",",3,.,en,US,,EST,,,,,,,,,S,,2002-08-13 20:36:24,USER_00000001,2002-10-23 21:04:57,USER_00000001,0,ORG_00000001.ORG_00004J5D.ORG_00004KA3,0.0,0.0,0.0,0.0,15,ORG_00004J5D,,,,ORG_00004J5D,,,,,,
ORG_00004KA4,0014P460ASN,Genesis Park Neighborhood Assn,I,GPNA@bellsouth.net,,,,USD,"*###,##0.00","###,##0.00",",",3,.,en,US,,EST,,,,,,,,,S,,2002-08-13 20:36:40,USER_00000001,2003-01-21 21:25:25,USER_00000001,0,ORG_00000001.ORG_00004J5D.ORG_00004K8F.ORG_00004KA4,0.0,0.0,0.0,0.0,20,ORG_00004K8F,,,,ORG_00004J5D,,,,,,
ORG_00004KA5,0014468BKC,Logan DC/Kids Cafe,I,,,,,USD,"*###,##0.00","###,##0.00",",",3,.,en,US,,EST,,,,,,,,,S,,2002-08-13 20:36:56,USER_00000001,2002-10-15 18:41:31,USER_00000001,0,ORG_00000001.ORG_00004J5D.ORG_00004KA5,0.0,0.0,0.0,0.0,15,ORG_00004J5D,,,,ORG_00004J5D,,,,,,
ORG_00004KA6,0014469AOSR,The Gastonias Potters House,I,phrshs777@cs.com,,,,USD,"*###,##0.00","###,##0.00",",",3,.,en,US,,EST,,,,,,,,,S,,2002-08-13 20:37:32,USER_00000001,2003-01-16 18:36:07,USER_00000001,0,ORG_00000001.ORG_00004J5D.ORG_00004KA6,0.0,0.0,0.0,0.0,12,ORG_00004J5D,,,,ORG_00004J5D,,,,,,
ORG_00004KA7,0014470AP,Belmont Foursquare Church,I,hopeatfoursquare@bellsouth.net,,,,USD,"*###,##0.00","###,##0.00",",",3,.,en,US,,EST,,,,,,,,,S,,2002-08-13 20:37:50,USER_00000001,2002-10-23 21:04:33,USER_00000001,0,ORG_00000001.ORG_00004J5D.ORG_00004KA7,0.0,0.0,0.0,0.0,15,ORG_00004J5D,,,,ORG_00004J5D,,,,,,
ORG_00004KA8,0014471AR,Crossroads Rescue Mission,I,klinzey@crossroadsrescuemission.org,,,,USD,"*###,##0.00","###,##0.00",",",3,.,en,US,,EST,,,,,,,,,S,,2002-08-13 20:38:08,USER_00000001,2003-01-16 18:35:59,USER_00000001,0,ORG_00000001.ORG_00004J5D.ORG_00004KA8,0.0,0.0,0.0,0.0,12,ORG_00004J5D,,,,ORG_00004J5D,,,,,,
ORG_00004KA9,0014472AOSR,Mt. Olive Adult Day Care,I,,,,,USD,"*###,##0.00","###,##0.00",",",3,.,en,US,,EST,,,,,,,,,S,,2002-08-13 20:38:26,USER_00000001,2002-11-01 12:09:48,USER_00000001,0,ORG_00000001.ORG_00004J5D.ORG_00004KA9,0.0,0.0,0.0,0.0,18,ORG_00004J5D,,,,ORG_00004J5D,,,,,,
ORG_00004KAA,0014473AOSR,Higher Level Missions,I,kcc@acninc.net,,,,USD,"*###,##0.00","###,##0.00",",",3,.,en,US,,EST,,,,,,,,,S,,2002-08-13 20:38:43,USER_00000001,2002-08-16 18:09:23,USER_00000001,0,ORG_00000001.ORG_00004J5D.ORG_00004KAA,0.0,0.0,0.0,0.0,9,ORG_00004J5D,,,,ORG_00004J5D,,,,,,
ORG_00004KAB,0014474AP,Wadesboro Area Comm. Out. Min.,I,cwagwhite@yahoo.com,,,,USD,"*###,##0.00","###,##0.00",",",3,.,en,US,,EST,,,,,,,,,S,,2002-08-13 20:39:01,USER_00000001,2002-11-07 12:55:44,USER_00000001,0,ORG_00000001.ORG_00004J5D.ORG_00004KAB,0.0,0.0,0.0,0.0,15,ORG_00004J5D,,,,ORG_00004J5D,,,,,,
