donationnumber,itemnumber,itemdescription,donationreason,pack,size_,sizeuom,packagingtype,unitofmeasure,quantity,quantityperpallet,totalpallets,grossweight,totalgrossweight,netweight,storagerequirement,manufacturedate,expirationdate,shelflife,extension,usebydate,status,magrefnumber
WD18020051,Chk63F321,BNLS BRST LRG SKNLS,Discontinued Item,/ Bag,Unknown,Bag,Unknown,Case,10.0,50.0,0.2,20.0,200.0,432.0,FROZEN,2017-10-20,,Unknown,Unknown,2017-10-20,Unknown,172000
WD18020051,Chk63F543,BNIN BRST LRG SKNON,Discontinued Item,/ Bag,Unknown,Bag,Unknown,Case,10.0,50.0,0.2,25.0,250.0,432.0,FROZEN,2018-10-20,,Unknown,Unknown,2018-10-20,Unknown,173000
WD18020051,Chk636T3,SML WING CSE,Discontinued Item,/ Bag,Unknown,Bag,Unknown,Carton,10.0,50.0,0.2,30.0,300.0,432.0,FROZEN,2018-10-20,,Unknown,Unknown,2018-10-20,Unknown,174000
WD18020051,Chk63F321,BNLS BRST LRG SKNLS,Discontinued Item,/ Bag,Unknown,Bag,Unknown,Case,10.0,50.0,0.2,20.0,200.0,432.0,FROZEN,2017-10-20,,Unknown,Unknown,2017-10-20,Unknown,175000
WD18020051,Chk63F543,BNIN BRST LRG SKNON,Discontinued Item,/ Bag,Unknown,Bag,Unknown,Case,10.0,50.0,0.2,25.0,250.0,432.0,FROZEN,2018-10-20,,Unknown,Unknown,2018-10-20,Unknown,176000
WD18020051,Chk636T3,SML WING CSE,Discontinued Item,/ Bag,Unknown,Bag,Unknown,Carton,10.0,50.0,0.2,30.0,300.0,432.0,FROZEN,2018-10-20,,Unknown,Unknown,2018-10-20,Unknown,177000
WD18020051,Chk63F321,BNLS BRST LRG SKNLS,Discontinued Item,/ Bag,Unknown,Bag,Unknown,Case,10.0,50.0,0.2,20.0,200.0,432.0,FROZEN,2017-10-20,,Unknown,Unknown,2017-10-20,Unknown,178000
WD18020051,Chk63F543,BNIN BRST LRG SKNON,Discontinued Item,/ Bag,Unknown,Bag,Unknown,Case,10.0,50.0,0.2,25.0,250.0,432.0,FROZEN,2018-10-20,,Unknown,Unknown,2018-10-20,Unknown,179000
WD18020051,Chk636T3,SML WING CSE,Discontinued Item,/ Bag,Unknown,Bag,Unknown,Carton,10.0,50.0,0.2,30.0,300.0,432.0,FROZEN,2018-10-20,,Unknown,Unknown,2018-10-20,Unknown,180000
WD18020051,Chk63F321,BNLS BRST LRG SKNLS,Discontinued Item,/ Bag,Unknown,Bag,Unknown,Case,10.0,50.0,0.2,20.0,200.0,432.0,FROZEN,2017-10-20,,Unknown,Unknown,2017-10-20,Unknown,181000
WD18020051,Chk63F543,BNIN BRST LRG SKNON,Discontinued Item,/ Bag,Unknown,Bag,Unknown,Case,10.0,50.0,0.2,25.0,250.0,432.0,FROZEN,2018-10-20,,Unknown,Unknown,2018-10-20,Unknown,182000
WD18020051,Chk636T345,LRG WNG Bulk,Discontinued Item,/ Bag,Unknown,Bag,Unknown,Case,1.0,1.0,1.0,500.0,500.0,432.0,FROZEN,2018-10-20,,Unknown,Unknown,2018-10-20,Unknown,183000
WD18020051,Chk636T3,SML WING CSE,Discontinued Item,/ Bag,Unknown,Bag,Unknown,Carton,10.0,50.0,0.2,30.0,300.0,432.0,FROZEN,2018-10-20,,Unknown,Unknown,2018-10-20,Unknown,184000
WD18020051,Chk63F321,BNLS BRST LRG SKNLS,Discontinued Item,/ Bag,Unknown,Bag,Unknown,Case,10.0,50.0,0.2,20.0,200.0,432.0,FROZEN,2017-10-20,,Unknown,Unknown,2017-10-20,Unknown,185000
WD18020051,Chk63F543,BNIN BRST LRG SKNON,Discontinued Item,/ Bag,Unknown,Bag,Unknown,Case,10.0,50.0,0.2,25.0,250.0,432.0,FROZEN,2018-10-20,,Unknown,Unknown,2018-10-20,Unknown,186000
WD18020051,Chk636T3,SML WING CSE,Discontinued Item,/ Bag,Unknown,Bag,Unknown,Carton,10.0,50.0,0.2,30.0,300.0,432.0,FROZEN,2018-10-20,,Unknown,Unknown,2018-10-20,Unknown,187000
WD18020051,Chk63F321,BNLS BRST LRG SKNLS,Discontinued Item,/ Bag,Unknown,Bag,Unknown,Case,10.0,50.0,0.2,20.0,200.0,432.0,FROZEN,2017-10-20,,Unknown,Unknown,2017-10-20,Unknown,188000
WD18020051,Chk63F543,BNIN BRST LRG SKNON,Discontinued Item,/ Bag,Unknown,Bag,Unknown,Case,10.0,50.0,0.2,25.0,250.0,432.0,FROZEN,2018-10-20,,Unknown,Unknown,2018-10-20,Unknown,189000
WD18020051,Chk636T3,SML WING CSE,Discontinued Item,/ Bag,Unknown,Bag,Unknown,Carton,10.0,50.0,0.2,30.0,300.0,432.0,FROZEN,2018-10-20,,Unknown,Unknown,2018-10-20,Unknown,190000
WD18020051,Chk63F321,BNLS BRST LRG SKNLS,Discontinued Item,/ Bag,Unknown,Bag,Unknown,Case,10.0,50.0,0.2,20.0,200.0,432.0,FROZEN,2017-10-20,,Unknown,Unknown,2017-10-20,Unknown,191000
WD18020051,Chk63F543,BNIN BRST LRG SKNON,Discontinued Item,/ Bag,Unknown,Bag,Unknown,Case,10.0,50.0,0.2,25.0,250.0,432.0,FROZEN,2018-10-20,,Unknown,Unknown,2018-10-20,Unknown,192000
WD18020051,Chk636T3,SML WING CSE,Discontinued Item,/ Bag,Unknown,Bag,Unknown,Carton,10.0,50.0,0.2,30.0,300.0,432.0,FROZEN,2018-10-20,,Unknown,Unknown,2018-10-20,Unknown,193000
WD18020051,Chk63F321,BNLS BRST LRG SKNLS,Discontinued Item,/ Bag,Unknown,Bag,Unknown,Case,10.0,50.0,0.2,20.0,200.0,432.0,FROZEN,2017-10-20,,Unknown,Unknown,2017-10-20,Unknown,194000
WD18020051,Chk63F543,BNIN BRST LRG SKNON,Discontinued Item,/ Bag,Unknown,Bag,Unknown,Case,10.0,50.0,0.2,25.0,250.0,432.0,FROZEN,2018-10-20,,Unknown,Unknown,2018-10-20,Unknown,195000
WD18020051,Chk636T345,LRG WNG Bulk,Discontinued Item,/ Bag,Unknown,Bag,Unknown,Case,1.0,1.0,1.0,500.0,500.0,432.0,FROZEN,2018-10-20,,Unknown,Unknown,2018-10-20,Unknown,196000
WD18020051,Chk636T3,SML WING CSE,Discontinued Item,/ Bag,Unknown,Bag,Unknown,Carton,10.0,50.0,0.2,30.0,300.0,432.0,FROZEN,2018-10-20,,Unknown,Unknown,2018-10-20,Unknown,197000
WD18020051,Chk63F321,BNLS BRST LRG SKNLS,Discontinued Item,/ Bag,Unknown,Bag,Unknown,Case,10.0,50.0,0.2,20.0,200.0,432.0,FROZEN,2017-10-20,,Unknown,Unknown,2017-10-20,Unknown,198000
WD18020051,Chk63F543,BNIN BRST LRG SKNON,Discontinued Item,/ Bag,Unknown,Bag,Unknown,Case,10.0,50.0,0.2,25.0,250.0,432.0,FROZEN,2018-10-20,,Unknown,Unknown,2018-10-20,Unknown,199000
WD18020051,Chk636T3,SML WING CSE,Discontinued Item,/ Bag,Unknown,Bag,Unknown,Carton,10.0,50.0,0.2,30.0,300.0,432.0,FROZEN,2018-10-20,,Unknown,Unknown,2018-10-20,Unknown,200000
WD18020051,Chk63F321,BNLS BRST LRG SKNLS,Discontinued Item,/ Bag,Unknown,Bag,Unknown,Case,10.0,50.0,0.2,20.0,200.0,432.0,FROZEN,2017-10-20,,Unknown,Unknown,2017-10-20,Unknown,201000
WD18020051,Chk63F543,BNIN BRST LRG SKNON,Discontinued Item,/ Bag,Unknown,Bag,Unknown,Case,10.0,50.0,0.2,25.0,250.0,432.0,FROZEN,2018-10-20,,Unknown,Unknown,2018-10-20,Unknown,202000
WD18020051,Chk636T3,SML WING CSE,Discontinued Item,/ Bag,Unknown,Bag,Unknown,Carton,10.0,50.0,0.2,30.0,300.0,432.0,FROZEN,2018-10-20,,Unknown,Unknown,2018-10-20,Unknown,203000
WD18020051,Chk63F321,BNLS BRST LRG SKNLS,Discontinued Item,/ Bag,Unknown,Bag,Unknown,Case,10.0,50.0,0.2,20.0,200.0,432.0,FROZEN,2017-10-20,,Unknown,Unknown,2017-10-20,Unknown,204000
WD18020051,Chk63F543,BNIN BRST LRG SKNON,Discontinued Item,/ Bag,Unknown,Bag,Unknown,Case,10.0,50.0,0.2,25.0,250.0,432.0,FROZEN,2018-10-20,,Unknown,Unknown,2018-10-20,Unknown,205000
WD18020051,Chk636T3,SML WING CSE,Discontinued Item,/ Bag,Unknown,Bag,Unknown,Carton,10.0,50.0,0.2,30.0,300.0,432.0,FROZEN,2018-10-20,,Unknown,Unknown,2018-10-20,Unknown,206000
WD18020051,Chk63F321,BNLS BRST LRG SKNLS,Discontinued Item,/ Bag,Unknown,Bag,Unknown,Case,10.0,50.0,0.2,20.0,200.0,432.0,FROZEN,2017-10-20,,Unknown,Unknown,2017-10-20,Unknown,207000
WD18020051,Chk63F543,BNIN BRST LRG SKNON,Discontinued Item,/ Bag,Unknown,Bag,Unknown,Case,10.0,50.0,0.2,25.0,250.0,432.0,FROZEN,2018-10-20,,Unknown,Unknown,2018-10-20,Unknown,208000
WD18020051,Chk636T345,LRG WNG Bulk,Discontinued Item,/ Bag,Unknown,Bag,Unknown,Case,1.0,1.0,1.0,500.0,500.0,432.0,FROZEN,2018-10-20,,Unknown,Unknown,2018-10-20,Unknown,209000
WD18020051,Chk636T3,SML WING CSE,Discontinued Item,/ Bag,Unknown,Bag,Unknown,Carton,10.0,50.0,0.2,30.0,300.0,432.0,FROZEN,2018-10-20,,Unknown,Unknown,2018-10-20,Unknown,210000
WD18020051,Chk63F321,BNLS BRST LRG SKNLS,Discontinued Item,/ Bag,Unknown,Bag,Unknown,Case,10.0,50.0,0.2,20.0,200.0,432.0,FROZEN,2017-10-20,,Unknown,Unknown,2017-10-20,Unknown,211000
WD18020051,Chk63F543,BNIN BRST LRG SKNON,Discontinued Item,/ Bag,Unknown,Bag,Unknown,Case,10.0,50.0,0.2,25.0,250.0,432.0,FROZEN,2018-10-20,,Unknown,Unknown,2018-10-20,Unknown,212000
WD18020051,Chk636T3,SML WING CSE,Discontinued Item,/ Bag,Unknown,Bag,Unknown,Carton,10.0,50.0,0.2,30.0,300.0,432.0,FROZEN,2018-10-20,,Unknown,Unknown,2018-10-20,Unknown,213000
WD18020051,Chk63F321,BNLS BRST LRG SKNLS,Discontinued Item,/ Bag,Unknown,Bag,Unknown,Case,10.0,50.0,0.2,20.0,200.0,432.0,FROZEN,2017-10-20,,Unknown,Unknown,2017-10-20,Unknown,214000
WD18020051,Chk63F543,BNIN BRST LRG SKNON,Discontinued Item,/ Bag,Unknown,Bag,Unknown,Case,10.0,50.0,0.2,25.0,250.0,432.0,FROZEN,2018-10-20,,Unknown,Unknown,2018-10-20,Unknown,215000
WD18020051,Chk636T3,SML WING CSE,Discontinued Item,/ Bag,Unknown,Bag,Unknown,Carton,10.0,50.0,0.2,30.0,300.0,432.0,FROZEN,2018-10-20,,Unknown,Unknown,2018-10-20,Unknown,216000
WD18020051,Chk63F321,BNLS BRST LRG SKNLS,Discontinued Item,/ Bag,Unknown,Bag,Unknown,Case,10.0,50.0,0.2,20.0,200.0,432.0,FROZEN,2017-10-20,,Unknown,Unknown,2017-10-20,Unknown,217000
WD18020051,Chk63F543,BNIN BRST LRG SKNON,Discontinued Item,/ Bag,Unknown,Bag,Unknown,Case,10.0,50.0,0.2,25.0,250.0,432.0,FROZEN,2018-10-20,,Unknown,Unknown,2018-10-20,Unknown,218000
WD18020051,Chk636T3,SML WING CSE,Discontinued Item,/ Bag,Unknown,Bag,Unknown,Carton,10.0,50.0,0.2,30.0,300.0,432.0,FROZEN,2018-10-20,,Unknown,Unknown,2018-10-20,Unknown,219000
WD18020051,Chk63F321,BNLS BRST LRG SKNLS,Discontinued Item,/ Bag,Unknown,Bag,Unknown,Case,10.0,50.0,0.2,20.0,200.0,432.0,FROZEN,2017-10-20,,Unknown,Unknown,2017-10-20,Unknown,220000
WD18020051,Chk63F543,BNIN BRST LRG SKNON,Discontinued Item,/ Bag,Unknown,Bag,Unknown,Case,10.0,50.0,0.2,25.0,250.0,432.0,FROZEN,2018-10-20,,Unknown,Unknown,2018-10-20,Unknown,221000
WD18020051,Chk636T345,LRG WNG Bulk,Discontinued Item,/ Bag,Unknown,Bag,Unknown,Case,1.0,1.0,1.0,500.0,500.0,432.0,FROZEN,2018-10-20,,Unknown,Unknown,2018-10-20,Unknown,222000
WD18020051,Chk636T3,SML WING CSE,Discontinued Item,/ Bag,Unknown,Bag,Unknown,Carton,10.0,50.0,0.2,30.0,300.0,432.0,FROZEN,2018-10-20,,Unknown,Unknown,2018-10-20,Unknown,223000
WD18020051,Chk63F321,BNLS BRST LRG SKNLS,Discontinued Item,/ Bag,Unknown,Bag,Unknown,Case,10.0,50.0,0.2,20.0,200.0,432.0,FROZEN,2017-10-20,,Unknown,Unknown,2017-10-20,Unknown,224000
WD18020051,Chk63F543,BNIN BRST LRG SKNON,Discontinued Item,/ Bag,Unknown,Bag,Unknown,Case,10.0,50.0,0.2,25.0,250.0,432.0,FROZEN,2018-10-20,,Unknown,Unknown,2018-10-20,Unknown,225000
WD18020051,Chk636T3,SML WING CSE,Discontinued Item,/ Bag,Unknown,Bag,Unknown,Carton,10.0,50.0,0.2,30.0,300.0,432.0,FROZEN,2018-10-20,,Unknown,Unknown,2018-10-20,Unknown,226000
WD18020051,Chk63F321,BNLS BRST LRG SKNLS,Discontinued Item,/ Bag,Unknown,Bag,Unknown,Case,10.0,50.0,0.2,20.0,200.0,432.0,FROZEN,2017-10-20,,Unknown,Unknown,2017-10-20,Unknown,227000
WD18020051,Chk63F543,BNIN BRST LRG SKNON,Discontinued Item,/ Bag,Unknown,Bag,Unknown,Case,10.0,50.0,0.2,25.0,250.0,432.0,FROZEN,2018-10-20,,Unknown,Unknown,2018-10-20,Unknown,228000
WD18020051,Chk636T3,SML WING CSE,Discontinued Item,/ Bag,Unknown,Bag,Unknown,Carton,10.0,50.0,0.2,30.0,300.0,432.0,FROZEN,2018-10-20,,Unknown,Unknown,2018-10-20,Unknown,229000
WD18020051,Chk63F321,BNLS BRST LRG SKNLS,Discontinued Item,/ Bag,Unknown,Bag,Unknown,Case,10.0,50.0,0.2,20.0,200.0,432.0,FROZEN,2017-10-20,,Unknown,Unknown,2017-10-20,Unknown,230000
WD18020051,Chk63F543,BNIN BRST LRG SKNON,Discontinued Item,/ Bag,Unknown,Bag,Unknown,Case,10.0,50.0,0.2,25.0,250.0,432.0,FROZEN,2018-10-20,,Unknown,Unknown,2018-10-20,Unknown,231000
WD18020051,Chk636T3,SML WING CSE,Discontinued Item,/ Bag,Unknown,Bag,Unknown,Carton,10.0,50.0,0.2,30.0,300.0,432.0,FROZEN,2018-10-20,,Unknown,Unknown,2018-10-20,Unknown,232000
WD18020051,Chk63F321,BNLS BRST LRG SKNLS,Discontinued Item,/ Bag,Unknown,Bag,Unknown,Case,10.0,50.0,0.2,20.0,200.0,432.0,FROZEN,2017-10-20,,Unknown,Unknown,2017-10-20,Unknown,233000
WD18020051,Chk63F543,BNIN BRST LRG SKNON,Discontinued Item,/ Bag,Unknown,Bag,Unknown,Case,10.0,50.0,0.2,25.0,250.0,432.0,FROZEN,2018-10-20,,Unknown,Unknown,2018-10-20,Unknown,234000
WD18020051,Chk636T345,LRG WNG Bulk,Discontinued Item,/ Bag,Unknown,Bag,Unknown,Case,1.0,1.0,1.0,500.0,500.0,432.0,FROZEN,2018-10-20,,Unknown,Unknown,2018-10-20,Unknown,235000
