org_id,entity_name,printable_name,status_flag,currency,currency_pattern,float_pattern,group_separator,group_size,decimal_char,language,country,time_zone,org_type,created_time,created_by,modified_time,modified_by,sys_flags,path,years_in_business,industry_val_num,annual_rev_vid,emp_count_vid,oca,parent_org_id,master_org_id
ORG_00004KEF,SanLeandro,San Leandro,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-05-06 05:09:58,USER_00004K1T,2003-05-06 05:10:49,USER_00004K1T,0,ORG_00000001.ORG_00004IFH.ORG_00004IFK.ORG_00004KEF,0.0,0.0,0.0,0.0,1,ORG_00004IFK,ORG_00004IFH
ORG_00004KH5,WinchesterPlant,WinchesterPlant,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-05-09 03:01:28,USER_00004K1T,2003-05-09 03:02:31,USER_00004K1T,0,ORG_00000001.ORG_00004IFH.ORG_00004IFK.ORG_00004KH5,0.0,0.0,0.0,0.0,1,ORG_00004IFK,ORG_00004IFH
ORG_00004KH6,Albuquerque,Albuquerque,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-05-18 17:14:51,USER_00004K1T,2009-04-24 15:14:39,USER_00004SE9,0,ORG_00000001.ORG_00004IFI.ORG_00004KH6,0.0,0.0,0.0,0.0,5,ORG_00004IFI,ORG_00004IFI
ORG_00004KH7,MemphisZC,MemphisZC,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-05-18 17:29:09,USER_00004K1T,2003-05-18 17:31:33,USER_00004K1T,0,ORG_00000001.ORG_00004IFI.ORG_00004KH7,0.0,0.0,0.0,0.0,2,ORG_00004IFI,ORG_00004IFI
ORG_00004KH8,FtMeyersZC,FtMeyersZC,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-05-18 17:37:20,USER_00004K1T,2006-01-05 00:27:12,USER_00004Q9N,0,ORG_00000001.ORG_00004IFI.ORG_00004KH8,0.0,0.0,0.0,0.0,5,ORG_00004IFI,ORG_00004IFI
ORG_00004KH9,Fargo,Fargo,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-05-18 20:46:17,USER_00004K1T,2006-01-05 00:19:25,USER_00004Q9N,0,ORG_00000001.ORG_00004IFI.ORG_00004KH9,0.0,0.0,0.0,0.0,3,ORG_00004IFI,ORG_00004IFI
ORG_00004KHA,Memphis,Mid-South Food Bank,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-05-18 20:54:13,USER_00004K1T,2008-12-02 14:20:39,USER_00004SE9,0,ORG_00000001.ORG_00004IFI.ORG_00004KHA,0.0,0.0,0.0,0.0,7,ORG_00004IFI,ORG_00004IFI
ORG_00004KHB,Pennsauken,Pennsauken,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-05-18 20:57:48,USER_00004K1T,2006-01-05 23:53:35,USER_00004Q9N,0,ORG_00000001.ORG_00004IFI.ORG_00004KHB,0.0,0.0,0.0,0.0,3,ORG_00004IFI,ORG_00004IFI
ORG_00004KHC,MemphisZD,MemphisZD,I,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-05-19 12:27:45,USER_00004K1T,2006-01-05 23:15:08,USER_00004Q9N,0,ORG_00000001.ORG_00004IFI.ORG_00004KHC,0.0,0.0,0.0,0.0,3,ORG_00004IFI,ORG_00004IFI
ORG_00004KK9,TestAffiliate6,Test Affiliate6,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-05-22 20:21:44,USER_00004K1T,2003-05-22 20:22:44,USER_00004K1T,0,ORG_00000001.ORG_00004IFI.ORG_00004KK9,0.0,0.0,0.0,0.0,2,ORG_00004IFI,ORG_00004IFI
ORG_00004KKA,East Syracuse,Food Bank of Central New York,I,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-05-27 15:57:39,USER_00004IV5,2003-05-27 16:12:03,USER_00004IV5,0,ORG_00000001.ORG_00004IFI.ORG_00004KKA,0.0,0.0,0.0,0.0,2,ORG_00004IFI,ORG_00004IFI
ORG_00004KKB,Waterloo,Northeast Iowa Food Bank,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-05-27 15:59:06,USER_00004IV5,2006-01-09 17:31:28,USER_00004Q9N,0,ORG_00000001.ORG_00004IFI.ORG_00004KKB,0.0,0.0,0.0,0.0,3,ORG_00004IFI,ORG_00004IFI
ORG_00004KKC,SanAntonio,San Antonio Food Bank,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-05-27 16:01:22,USER_00004IV5,2007-06-19 21:37:03,USER_00004SE9,0,ORG_00000001.ORG_00004IFI.ORG_00004KKC,0.0,0.0,0.0,0.0,4,ORG_00004IFI,ORG_00004IFI
ORG_00004KKD,EastSyracuse,Food Bank of Central New York,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-05-27 19:13:22,USER_00004IV5,2006-01-05 00:07:21,USER_00004Q9N,0,ORG_00000001.ORG_00004IFI.ORG_00004KKD,0.0,0.0,0.0,0.0,3,ORG_00004IFI,ORG_00004IFI
ORG_00004KKE,DoverPlant,Dover Plant,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-05-27 20:54:48,USER_00004K1T,2003-05-27 20:56:15,USER_00004K1T,0,ORG_00000001.ORG_00004IFH.ORG_00004IFK.ORG_00004KKE,0.0,0.0,0.0,0.0,1,ORG_00004IFK,ORG_00004IFH
