org_id,org_name,status,created_time,currency,data_source
ORG_00004KEF,SanLeandro,Active,2003-05-06 05:09:58,USD,Choice
ORG_00004KH5,WinchesterPlant,Active,2003-05-09 03:01:28,USD,Choice
ORG_00004KH6,Albuquerque,Active,2003-05-18 17:14:51,USD,Choice
ORG_00004KH7,MemphisZC,Active,2003-05-18 17:29:09,USD,Choice
ORG_00004KH8,FtMeyersZC,Active,2003-05-18 17:37:20,USD,Choice
ORG_00004KH9,Fargo,Active,2003-05-18 20:46:17,USD,Choice
ORG_00004KHA,Memphis,Active,2003-05-18 20:54:13,USD,Choice
ORG_00004KHB,Pennsauken,Active,2003-05-18 20:57:48,USD,Choice
ORG_00004KHC,MemphisZD,Active,2003-05-19 12:27:45,USD,Choice
ORG_00004KK9,TestAffiliate6,Active,2003-05-22 20:21:44,USD,Choice
ORG_00004KKA,East Syracuse,Active,2003-05-27 15:57:39,USD,Choice
ORG_00004KKB,Waterloo,Active,2003-05-27 15:59:06,USD,Choice
ORG_00004KKC,SanAntonio,Active,2003-05-27 16:01:22,USD,Choice
ORG_00004KKD,EastSyracuse,Active,2003-05-27 19:13:22,USD,Choice
ORG_00004KKE,DoverPlant,Active,2003-05-27 20:54:48,USD,Choice
ORG_00004KKG,ChattanoogaPlant,Active,2003-05-27 21:00:32,USD,Choice
ORG_00004KND,LittleChute,Active,2003-05-28 10:40:08,USD,Choice
ORG_00004KNE,KraftPizza,Active,2003-05-28 15:43:52,USD,Choice
ORG_00004KNF,LittleChutePizza,Active,2003-05-28 15:49:45,USD,Choice
ORG_00004KNG,Jonesboro,Active,2003-05-28 20:38:51,USD,Choice
ORG_00004KNH,BattleCreek,Active,2003-05-28 20:43:40,USD,Choice
ORG_00004KNI,BattleCreekZC,Active,2003-05-29 20:38:47,USD,Choice
ORG_00004KNJ,HillsideZD,Active,2003-05-29 20:41:24,USD,Choice
ORG_00004KNK,SaltLakeCity,Active,2003-05-29 20:44:48,USD,Choice
ORG_00004KNL,Houston,Active,2003-05-29 20:48:58,USD,Choice
ORG_00004KNM,UDI,Active,2003-05-29 21:04:59,USD,Choice
ORG_00004KNN,SouthEdmeston,Active,2003-05-29 21:05:31,USD,Choice
ORG_00004KNO,Weyauwega,Active,2003-05-29 21:06:14,USD,Choice
